"appid","average_playtime","owners"
278440,26,35000
278460,296,350000
278510,73,10000
278530,370,35000
278620,222,75000
278640,44,35000
278810,12,35000
278890,271,150000
278930,112,75000
278970,56,350000
279160,277,35000
279260,332,75000
279480,2,10000
279540,27,35000
279640,306,350000
279720,281,350000
279740,293,35000
279800,99,150000
280140,272,350000
280160,199,350000
280180,45,75000
280200,64,150000
280220,862,150000
280320,613,75000
280520,322,75000
280540,65,10000
280560,176,35000
280640,186,75000
280790,3292,3500000
280930,22,35000
281060,325,150000
281200,108,75000
281220,242,75000
281370,84,75000
281390,67,35000
281610,26,350000
281640,331,350000
281750,3,150000
281860,181,75000
281920,213,350000
281990,2729,3500000
282010,13,75000
282030,183,75000
282070,512,3500000
282100,854,150000
282140,258,750000
282440,1265,3500000
282560,2577,150000
282660,128,750000
282760,20,150000
282800,1678,350000
282880,497,75000
282900,613,350000
283000,247,35000
283020,78,35000
283040,372,10000
283060,143,150000
283100,89,10000
283230,291,150000
283270,30,35000
283290,195,750000
283390,204,350000
283430,4,350000
283640,623,350000
283660,240,75000
283680,274,150000
283820,10,35000
283840,4,35000
283880,21247,750000
284160,2038,750000
284180,324,10000
284220,356,35000
284390,39,150000
284730,259,75000
284810,275,150000
284830,167,75000
284850,146,150000
284870,306,75000
284930,286,350000
284950,372,350000
284990,12173,150000
285010,310,350000
285090,161,150000
285130,244,150000
285190,704,750000
285310,286,750000
285330,200,750000
285440,348,150000
285480,259,75000
285800,233,1500000
285820,418,150000
285840,188,350000
285900,681,1500000
285920,3140,350000
285980,282,35000
286000,75,350000
286040,276,350000
286100,12787,750000
286120,365,350000
286140,183,75000
286160,729,1500000
286200,163,75000
286260,367,350000
286320,333,75000
286340,180,150000
286360,118,350000
286540,75,35000
286570,305,3500000
286660,188,35000
286690,434,3500000
286830,184,35000
286940,934,3500000
287020,6,75000
287070,205,35000
287100,110,350000
287120,239,350000
287220,43,35000
287260,221,150000
287290,452,750000
287390,363,3500000
287450,2379,750000
287700,3007,1500000
287720,7,75000
287860,250,75000
287920,106,750000
287980,212,750000
288060,168,350000
288160,167,350000
288470,708,750000
289070,3371,3500000
289090,202,350000
289130,1045,1500000
289220,272,35000
289400,236,75000
289420,271,35000
289440,243,75000
289520,518,150000
289620,114,75000
289650,1686,750000
289690,38,350000
289760,332,150000
289890,167,75000
289930,222,150000
289950,315,350000
290000,4,75000
290020,75,10000
290040,107,35000
290080,3497,350000
290260,28,35000
290300,618,750000
290320,55,35000
290340,1145,750000
290440,212,10000
290530,168,35000
290650,298,75000
290730,4,350000
290770,106,350000
290790,434,350000
290890,50,150000
291130,86,75000
291170,345,150000
291330,262,75000
291390,231,75000
291410,14620,750000
291480,949,15000000
291550,724,15000000
291650,1710,1500000
291860,327,350000
291930,27,35000
292030,3068,7500000
292120,1497,750000
292140,713,350000
292200,8,35000
292330,115,75000
292370,224,350000
292380,194,350000
292390,32,350000
292400,4435,35000
292410,198,750000
292480,281,75000
292500,226,150000
292570,207,350000
292600,306,75000
292620,189,350000
292630,188,350000
292730,3609,750000
292760,71,10000
292910,262,750000
292930,3,150000
293180,249,750000
293240,139,35000
293260,655,750000
293320,252,150000
293440,163,35000
293480,69,35000
293540,137,1500000
293760,209,75000
293780,64,350000
293840,17,150000
293880,206,75000
293940,41,75000
294000,143,75000
294020,285,150000
294040,284,350000
294100,5017,1500000
294160,16,350000
294230,242,150000
294370,282,75000
294440,358,150000
294660,34,35000
294750,215,75000
294810,167,150000
294860,892,750000
295550,2,750000
295690,127,350000
295710,28,350000
295730,183,35000
295790,232,350000
295930,114,150000
296050,342,350000
296070,310,150000
296300,869,350000
296470,150,750000
296490,2273,150000
296510,128,10000
296630,1,150000
296650,1,35000
296710,418,150000
296770,309,150000
296830,234,150000
296870,230,350000
296910,5,350000
296930,146,35000
296970,1109,350000
297000,1854,750000
297020,219,750000
297100,75,35000
297120,226,150000
297130,46,350000
297210,15,150000
297750,1,35000
297760,586,35000
297860,143,75000
297920,404,150000
298110,1062,1500000
298160,34,350000
298180,21168,350000
298240,232,3500000
298260,20,1500000
298360,262,10000
298400,427,10000
298520,80,350000
298600,231,350000
298610,457,150000
298630,826,1500000
298820,482,35000
299260,201,350000
299340,22,35000
299360,347,3500000
299460,189,750000
299480,125,150000
299500,1,150000
299720,285,150000
299740,619,750000
299840,214,10000
300040,99,750000
300080,177,750000
300220,223,150000
300300,337,75000
300380,13,350000
300400,28,10000
300540,40,150000
300550,505,750000
300570,1094,350000
300580,341,350000
300760,679,10000
300820,54,35000
301120,42,150000
301190,269,150000
301200,302,150000
301320,9,35000
301520,1369,15000000
301540,274,75000
301610,150,10000
301640,400,750000
301680,232,150000
301700,1,350000
301750,285,350000
301760,62,10000
301840,52,35000
301860,317,350000
301910,180,750000
301970,122,350000
302010,187,150000
302080,109,350000
302110,1,35000
302170,6,35000
302190,11,75000
302210,7,35000
302250,110,150000
302310,397,75000
302380,7076,750000
302510,225,1500000
302590,95,350000
302610,392,75000
302650,250,35000
302670,2550,750000
302690,293,35000
302710,208,150000
302750,43,10000
302790,318,75000
302830,499,3500000
302950,55,10000
303210,120,350000
303390,272,1500000
303430,229,35000
303690,370,35000
303720,385,35000
303790,1,75000
303800,26,150000
303840,55,35000
304030,2107,1500000
304050,2602,7500000
304240,604,750000
304390,951,3500000
304410,1697,150000
304430,297,750000
304460,3,35000
304500,1,75000
304530,863,150000
304650,417,750000
304670,215,35000
304730,130,350000
304930,3248,35000000
305070,4,35000
305260,168,750000
305620,760,1500000
305980,96,75000
306020,1127,350000
306040,156,350000
306130,10659,1500000
306350,214,150000
306410,231,350000
306660,106,350000
306670,157,75000
306680,9,150000
306950,105,35000
307050,337,75000
307070,152,350000
307110,296,150000
307130,2908,35000
307170,132,75000
307190,291,10000
307230,107,350000
307290,41,750000
307340,260,75000
307350,170,350000
307580,129,150000
307590,246,75000
307600,162,35000
307640,1232,75000
307670,237,350000
307690,636,1500000
307760,1,75000
307780,1030,1500000
307880,234,350000
307960,997,150000
308000,285,350000
308040,242,750000
308060,121,150000
308420,756,350000
308460,38,75000
308580,17,150000
308600,280,750000
310060,553,150000
310080,622,350000
310360,279,150000
310370,13,1500000
310470,684,75000
310510,35,150000
310560,488,1500000
310700,260,150000
310740,385,75000
310790,2,150000
310810,294,75000
310850,75,75000
310890,11,150000
310950,793,750000
311080,664,35000
311120,213,35000
311190,135,35000
311210,4925,1500000
311240,1448,350000
311250,220,75000
311290,6,350000
311310,1536,150000
311340,320,750000
311480,656,350000
311560,1240,350000
311690,1625,1500000
311720,168,150000
311730,12927,750000
311770,144,75000
311820,6,35000
311860,268,350000
311870,148,75000
312150,5,350000
312210,42,35000
312230,307,35000
312280,34,350000
312350,44,10000
312420,290,10000
312450,134,350000
312520,803,150000
312530,607,750000
312600,176,35000
312610,533,350000
312640,422,150000
312650,107,10000
312660,522,750000
312670,490,75000
312720,363,75000
312750,1818,150000
312840,34,350000
312990,85,3500000
313010,51,150000
313020,256,150000
313040,9,35000
313080,926,75000
313120,272,750000
313130,87,35000
313140,235,350000
313160,1902,750000
313340,614,350000
313360,127,35000
313400,263,75000
313480,14,150000
313500,132,150000
313590,85,10000
313630,175,350000
313690,443,350000
313730,287,750000
313740,311,350000
313830,150,150000
314000,22,750000
314010,5,350000
314020,219,350000
314030,320,75000
314070,360,75000
314160,991,1500000
314180,688,35000
314200,55,10000
314210,53,10000
314230,73,35000
314240,149,35000
314250,90,150000
314280,24,750000
314410,290,350000
314460,338,10000
314570,126,10000
314660,215,350000
314710,28,350000
314790,97,150000
314810,13,150000
314830,151,350000
314970,93,350000
315060,322,150000
315070,212,35000
315080,333,10000
315110,126,35000
315330,244,150000
315430,156,750000
315660,90,35000
315670,860,35000
315810,385,150000
315860,277,35000
316010,1854,3500000
316390,39,3500000
316600,207,75000
316720,69,75000
316790,285,750000
316840,1042,35000
317030,169,35000
317040,288,75000
317250,1718,350000
317300,126,35000
317360,5852,3500000
317410,14,350000
317440,3,35000
317470,93,750000
317510,105,35000
317620,225,150000
317710,199,75000
317820,542,350000
317920,6,10000
318020,1416,150000
318100,320,350000
318220,150,150000
318230,77,150000
318430,52,350000
318530,143,75000
318600,125,750000
319180,220,350000
319230,358,150000
319430,13,10000
319450,28,75000
319470,318,150000
319480,261,150000
319510,474,750000
319560,14,35000
319570,11,350000
319630,412,7500000
319730,3,150000
319830,189,750000
319850,48,75000
319910,449,750000
319970,289,150000
320040,794,150000
320140,145,150000
320150,188,75000
320240,308,150000
320300,680,750000
320320,27375,75000
320340,196,150000
320400,6,75000
320760,404,35000
321150,182,350000
321190,359,10000
321260,117,75000
321270,114,75000
321360,166,350000
321400,165,350000
321480,17,350000
321800,202,150000
321840,53,150000
321870,217,150000
321920,551,150000
321950,225,150000
322080,95,10000
322110,166,350000
322170,5546,1500000
322190,388,350000
322290,454,75000
322330,1070,7500000
322500,212,1500000
322680,4,150000
322780,592,150000
322900,195,35000
322910,87,150000
322970,8,75000
323060,272,350000
323190,1084,1500000
323320,142,350000
323380,75,150000
323450,450,35000
323460,6,75000
323470,2575,750000
323490,278,10000
323580,203,3500000
323720,49,150000
323850,299,750000
324070,53,75000
324160,188,75000
324170,217,10000
324310,273,150000
324420,214,35000
324510,55204,35000
324570,6,150000
324730,82,10000
324740,237,150000
324760,15,75000
324800,993,350000
324810,50,750000
325090,188,350000
325120,586,35000
325180,1,75000
325370,406,75000
325470,307,10000
325610,2147,1500000
326120,216,350000
326160,54618,75000
326180,236,150000
326190,245,150000
326360,21,350000
326410,1064,350000
326460,1218,1500000
326480,784,150000
326520,3,35000
326670,5934,75000
326730,105,75000
326950,435,75000
326960,1,750000
326990,1,10000
327030,424,350000
327060,54,35000
327070,379,150000
327090,868,75000
327140,92,150000
327220,133,150000
327310,510,75000
327410,257,350000
327510,172,150000
327560,62,35000
327640,13,350000
327890,146,750000
328080,432,350000
328500,365,150000
328590,187,10000
328680,283,35000
328760,334,150000
329000,290,350000
329020,10,150000
329050,432,750000
329110,503,350000
329130,4,150000
329380,234,350000
329430,676,350000
329440,11,150000
329460,26,150000
329490,121,150000
329650,6,35000
329770,161,10000
329860,1518,75000
330180,247,75000
330270,41,35000
330350,116,150000
330390,225,75000
330620,593,10000
330820,326,350000
330830,524,1500000
330990,248,75000
331120,1,350000
331190,13,75000
331220,182,35000
331340,127,35000
331360,46,750000
331390,1262,10000
331400,74,35000
331440,113,150000
331470,249,1500000
331480,449,150000
331500,363,75000
331600,311,350000
331670,30,350000
331690,257,75000
331790,222,350000
331870,73,75000
331980,222,75000
332070,272,1500000
332200,377,150000
332310,723,750000
332480,333,75000
332500,509,750000
332570,646,350000
332650,11,35000
332700,263,75000
332710,55,75000
332780,210,150000
332790,276,350000
332800,171,750000
332950,24,150000
333120,239,75000
333210,67,75000
333220,415,75000
333250,453,350000
333260,5,10000
333300,871,35000
333420,596,750000
333490,286,10000
333510,359,35000
333540,42,10000
333600,526,750000
333640,171,75000
333660,2,10000
333930,715,7500000
333950,11517,350000
333980,409,150000
334030,14,150000
334040,206,150000
334070,64,350000
334210,257,750000
334230,2101,750000
334270,75,10000
334300,301,150000
334420,154,75000
334690,135,35000
334920,453,350000
335000,255,75000
335150,9,350000
335190,348,35000
335200,455,10000
335220,237,10000
335240,320,3500000
335300,3189,1500000
335320,42,35000
335330,41,750000
335430,192,350000
335460,276,35000
335550,368,10000
335620,761,150000
335670,882,350000
335690,75,10000
335790,16,35000
335820,5237,150000
335900,308,75000
336090,229,35000
336130,67,35000
336200,146,10000
336280,202,75000
336380,565,35000
336420,104,150000
336520,228,350000
336670,5,350000
337000,798,1500000
337040,489,10000
337150,186,150000
337180,346,75000
337270,286,35000
337290,157,10000
337320,554,350000
337340,166,350000
337360,339,150000
337410,1,350000
337420,386,150000
337630,283,75000
337940,1084,35000
337950,51,1500000
338050,274,150000
338060,294,35000
338120,200,75000
338140,39,75000
338170,85,150000
338180,135,750000
338320,1027,75000
338390,67,150000
338530,268,350000
338540,39,750000
339000,55,35000
339110,177,10000
339120,14,350000
339160,359,75000
339200,140,150000
339230,145,150000
339280,150,1500000
339290,174,75000
339320,26,35000
339340,132,350000
339400,644,350000
339470,187,350000
339600,5448,750000
339610,1571,3500000
339800,2741,750000
339820,289,75000
340030,272,35000
340050,50,350000
340070,282,150000
340150,1388,75000
340170,73,150000
340200,2,350000
340220,238,35000
340300,306,150000
340310,271,150000
340320,218,75000
340340,840,35000
340350,9,150000
340440,101,10000
340470,290,35000
340490,162,75000
340520,420,35000
340540,36,350000
340680,3,10000
340730,322,75000
340770,2,35000
340810,374,350000
340830,200,75000
340860,296,75000
341000,185,350000
341060,149,75000
341070,212,35000
341090,86,75000
341120,274,35000
341160,262,75000
341310,200,350000
341380,316,35000
341390,13714,10000
341440,2,35000
341470,223,10000
341500,213,350000
341530,67,35000
341710,37,10000
341720,6,350000
341780,257,75000
341800,196,750000
341940,206,350000
341950,79,35000
341980,287,150000
342090,639,35000
342150,74,350000
342180,128,350000
342200,812,1500000
342240,755,10000
342310,32,35000
342360,241,10000
342380,688,350000
342480,175,350000
342510,55,10000
342520,1,35000
342560,218,75000
342570,59,350000
342580,298,150000
342970,270,75000
342980,72,350000
343090,636,35000
343100,419,350000
343270,158,35000
343280,325,75000
343340,178,75000
343360,281,750000
343440,371,75000
343560,14,75000
343630,15,350000
343710,276,1500000
343740,1,350000
343800,168,75000
343820,129,35000
343860,132,150000
343930,317,150000
344030,94,10000
344040,191,350000
344130,299,150000
344190,114,150000
344230,271,350000
344300,216,350000
344480,207,10000
344500,190,35000
344630,252,35000
344760,3498,350000
344770,307,75000
344850,647,150000
344910,200,150000
345060,369,75000
345140,46,10000
345180,306,750000
345220,246,350000
345260,103,150000
345350,2639,350000
345390,56,350000
345440,366,75000
345610,4187,35000
345620,2353,10000
345650,2,350000
345750,317,35000
345820,434,350000
345860,135,35000
345920,243,750000
346010,644,3500000
346110,14154,7500000
346120,12984,750000
346180,137,75000
346210,213,150000
346250,7,350000
346330,46,1500000
346500,776,10000
346560,402,75000
346630,216,150000
346750,4,75000
346780,258,35000
346900,2747,3500000
346940,438,750000
346950,236,350000
347040,342,35000
347160,145,150000
347240,9,10000
347290,288,75000
347430,212,350000
347510,165,75000
347560,218,750000
347620,173,150000
347670,189,35000
347830,229,150000
347950,9,35000
348020,341,350000
348250,25,750000
348360,363,150000
348450,209,150000
348460,12,150000
348510,2284,35000
348530,278,35000
348540,284,35000
348620,18,150000
348730,271,35000
348740,181,35000
348820,1225,35000
348860,17,35000
348870,227,75000
348950,173,75000
348960,218,150000
349040,767,1500000
349220,110,35000
349320,364,10000
349440,343,350000
349500,276,150000
349720,62,350000
349760,301,10000
349790,83,10000
350010,292,75000
350070,239,35000
350080,245,750000
350500,272,35000
350600,42,10000
350620,120,10000
350640,216,350000
350700,12,150000
350740,67,75000
350780,9,35000
350810,257,350000
350990,2,150000
351030,220,1500000
351080,1,35000
351090,275,75000
351140,108,350000
351150,175,150000
351250,508,75000
351290,46,150000
351340,401,35000
351400,185,35000
351470,232,350000
351490,443,350000
351640,15961,750000
351710,81,350000
351720,367,35000
351790,11,150000
351800,19,350000
351910,126,150000
351920,118,75000
351940,254,350000
351970,1445,750000
351990,146,75000
352010,441,35000
352070,73,10000
352160,88,150000
352400,502,350000
352460,114,150000
352520,11,350000
352610,411,10000
352620,226,35000
352640,2,10000
352750,328,10000
352890,111,35000
352960,43,35000
353070,456,35000
353130,19,750000
353270,180,350000
353360,9,350000
353550,161,150000
353560,18,150000
353640,80,350000
353700,290,75000
353990,125,35000
354040,253,35000
354140,133,350000
354200,354,350000
354240,254,350000
354290,13,350000
354380,72,150000
354640,25,350000
354860,290,75000
354920,232,150000
355070,8,150000
355180,191,3500000
355240,42,35000
355280,289,35000
355410,241,75000
355430,247,150000
355520,80,75000
355790,78,150000
355800,666,150000
355810,212,35000
355840,6569,3500000
355920,280,150000
355980,604,75000
356040,295,350000
356050,763,150000
356130,7,350000
356190,1587,1500000
356310,216,350000
356370,162,350000
356400,24,150000
356420,319,75000
356500,76,350000
356520,17,150000
356530,670,35000
356570,518,350000
356670,7131,1500000
357070,140,150000
357190,54,150000
357200,250,10000
357290,211,350000
357300,76,75000
357330,4,35000
357340,365,35000
357370,10,35000
357500,35,75000
357650,35,10000
357770,227,350000
357780,603,350000
357890,28,10000
357900,189,350000
358080,224,75000
358130,562,150000
358270,22,75000
358290,14,75000
358340,12,35000
358360,1,75000
358390,13,10000
358410,3,35000
358650,333,35000
358750,216,150000
358770,670,35000
358830,2,35000
358960,2,35000
359040,50,35000
359050,74,350000
359060,225,35000
359100,913,75000
359230,1195,35000
359260,247,35000
359310,198,350000
359320,4545,1500000
359390,478,75000
359550,7504,7500000
359580,217,150000
359800,38,750000
359870,596,750000
359960,304,150000
360010,1,75000
360150,336,150000
360170,409,750000
360380,225,350000
360390,194,35000
360430,564,1500000
360550,186,10000
360620,96,150000
360640,229,350000
360650,325,150000
360730,48,150000
360740,134,350000
360750,5,35000
360830,57,350000
360850,195,75000
360870,1,350000
360890,214,350000
360940,73,350000
360970,209,150000
361190,145,350000
361280,278,350000
361300,613,350000
361420,1213,1500000
361600,194,75000
361630,22,350000
361800,4866,150000
361850,169,150000
361990,17,150000
362350,1180,35000
362410,226,35000
362490,547,150000
362610,382,350000
362620,317,150000
362660,726,35000
362680,508,350000
362890,715,1500000
362930,41,350000
362960,1570,350000
363050,1,10000
363130,1532,75000
363410,329,35000
363440,10,150000
363460,116,35000
363490,239,350000
363510,280,35000
363600,606,150000
363610,280,75000
363620,337,150000
363680,856,350000
363790,432,35000
363890,331,350000
363930,555,350000
363970,9742,7500000
363980,1467,10000
364050,430,150000
364200,446,10000
364230,125,35000
364360,3610,1500000
364420,222,350000
364470,448,1500000
364480,179,35000
364690,127,350000
364890,269,35000
364910,289,75000
364930,289,75000
365160,63,350000
365190,32,35000
365300,84,750000
365310,216,350000
365450,278,3500000
365590,4252,3500000
365660,75,75000
365680,308,10000
365770,76,150000
365900,323,10000
366090,11,150000
366180,515,35000
366220,2018,350000
366250,501,350000
366260,954,75000
366320,361,350000
366610,226,35000
366760,377,150000
366890,297,350000
366910,282,75000
366970,214,10000
367000,254,35000
367080,479,35000
367120,75,350000
367430,103,10000
367450,168,750000
367500,1355,1500000
367520,1286,1500000
367570,46,75000
367580,251,150000
367600,100,75000
367670,3,150000
368000,63,10000
368070,1800,350000
368080,524,75000
368160,768,35000
368230,250,3500000
368290,1,35000
368360,231,750000
368370,123,350000
368500,564,750000
368590,317,150000
368610,219,35000
368620,3,35000
368710,262,35000
368720,185,150000
368730,139,750000
368770,5,35000
368860,16,35000
368950,163,350000
368970,276,35000
368990,213,350000
369000,658,150000
369030,132,75000
369060,203,10000
369070,201,150000
369360,232,10000
369370,494,10000
369400,7,350000
369420,177,75000
369580,17,150000
369890,784,35000
369990,193,350000
370020,74,35000
370050,278,35000
370060,272,10000
370070,11,35000
370090,1,150000
370130,60,10000
370170,253,35000
370270,416,10000
370280,796,35000
370360,325,350000
370460,215,35000
370480,6,10000
370510,204,350000
370770,150,350000
370910,203,150000
371180,1,75000
371200,283,75000
371210,219,350000
371330,280,350000
371390,285,75000
371420,517,150000
371450,14,35000
371460,307,35000
371510,335,150000
371520,217,75000
371550,408,35000
371570,270,350000
371660,949,750000
371670,212,350000
371710,542,10000
371900,342,35000
371970,286,75000
372000,2119,3500000
372330,175,10000
372360,223,350000
372490,197,35000
372540,6,350000
372750,449,75000
372800,235,750000
373180,348,150000
373290,286,75000
373330,484,350000
373420,1559,1500000
373440,379,35000
373600,151,10000
373610,109,10000
373620,149,10000
373630,122,10000
373720,6,75000
373770,258,150000
374030,219,150000
374040,1241,750000
374280,2713,150000
374320,4222,3500000
374460,226,10000
374830,396,150000
374900,163,150000
375010,253,350000
375200,408,350000
375220,1,75000
375230,495,750000
375250,289,35000
375320,242,35000
375460,323,350000
375510,202,350000
375520,284,75000
375600,8,150000
375620,266,150000
375680,254,350000
375770,409,35000
375820,207,350000
375840,19,35000
375850,276,150000
375900,8159,75000
375910,1930,350000
375950,12,750000
376210,1824,350000
376300,185,150000
376480,293,10000
376490,458,10000
376680,4,10000
376730,243,35000
376760,55,35000
376870,399,350000
376920,428,35000
377080,223,35000
377160,4822,7500000
377260,9,150000
377290,331,150000
377310,275,350000
377330,9,150000
377360,222,75000
377430,48,75000
377530,4048,75000
377600,221,75000
377670,58,10000
377680,510,150000
377710,662,75000
377720,523,75000
377840,1911,350000
377860,82,35000
377870,31,35000
377900,94,75000
377980,525,35000
378100,243,350000
378270,309,150000
378300,13,75000
378370,82,350000
378540,422,350000
378610,47,350000
378720,301,150000
378860,121,350000
379210,487,35000
379290,301,75000
379320,325,35000
379430,2106,1500000
379530,272,10000
379600,12,10000
379640,1,75000
379720,751,3500000
379960,273,35000
379980,256,35000
379990,276,10000
380020,199,150000
380140,95242,150000
380360,5889,350000
380550,243,35000
380580,169,75000
380600,196,3500000
380690,432,10000
380790,373,35000
380840,112,750000
381020,799,35000
381120,322,350000
381140,59,350000
381170,167,35000
381210,5904,7500000
381560,141,150000
381640,9,150000
381780,113,150000
381870,237,35000
381940,169,350000
382050,352,150000
382080,262,75000
382110,16,150000
382120,245,350000
382140,139,150000
382160,2,10000
382300,235,150000
382310,2197,150000
382490,147,750000
383080,1055,1500000
383120,495,750000
383150,1725,350000
383180,184,350000
383230,184,150000
383270,20,150000
383330,212,350000
383460,744,75000
383520,342,75000
383560,379,75000
383580,205,750000
383690,11,10000
383710,273,10000
383870,206,750000
383960,650,10000
383980,245,750000
384000,62,35000
384030,550,150000
384110,308,150000
384180,64,350000
384190,116,750000
384250,8,75000
384300,6362,350000
384310,174,35000
384480,223,35000
384490,27,350000
384550,53,35000
384630,242,75000
384690,270,10000
384700,187,10000
384740,261,150000
384950,288,35000
384960,429,75000
384980,9,150000
385070,277,350000
385080,334,350000
385240,280,75000
385270,383,350000
385310,213,35000
385370,1,150000
385380,947,75000
385400,53,150000
385410,318,10000
385440,228,10000
385560,243,150000
385710,169,350000
385730,1024,150000
385760,4672,750000
385770,423,750000
385800,430,750000
385830,307,150000
385860,466,10000
385950,207,10000
386070,408,750000
386080,51,35000
386160,277,35000
386180,864,3500000
386360,1954,7500000
386420,34,35000
386480,282,75000
386490,210,150000
386510,11,75000
386590,654,35000
386620,153,150000
386640,3,75000
386770,365,10000
386870,77,10000
386880,116,150000
386940,622,750000
386970,862,10000
386990,298,35000
387290,322,1500000
387340,335,150000
387400,4,10000
387840,574,150000
387860,13,350000
387870,13,35000
387930,201,150000
387970,7,350000
387990,2355,750000
388050,329,75000
388060,73,150000
388090,139,350000
388120,266,350000
388210,189,350000
388390,245,75000
388410,992,1500000
388420,118,75000
388490,130,150000
388550,11,10000
388620,331,35000
388660,263,35000
388750,805,350000
388880,258,350000
389170,342,150000
389270,359,350000
389400,200,150000
389430,113,3500000
389570,268,3500000
389650,255,10000
389700,242,350000
389730,4367,750000
390030,324,35000
390100,1,75000
390340,342,350000
390520,267,35000
390540,417,35000
390570,293,150000
390670,472,750000
390710,357,35000
390880,204,150000
390910,258,75000
390970,214,350000
391040,1397,350000
391070,255,350000
391160,112,35000
391220,817,3500000
391260,183,350000
391270,18,350000
391300,271,75000
391310,239,35000
391420,204,350000
391460,75,3500000
391540,679,3500000
391560,208,35000
391580,14,75000
391600,222,35000
391660,289,35000
391720,227,3500000
391730,143,150000
391740,352,150000
391780,3,350000
392110,1278,750000
392160,873,150000
392410,80,35000
392820,264,75000
393080,302,35000
393150,193,35000
393380,3173,750000
393410,3,350000
393420,5439,750000
393430,853,150000
393460,219,35000
393530,76,350000
393790,49,35000
393930,5,150000
393980,303,75000
394030,572,10000
394120,3,150000
394130,1,75000
394160,21,75000
394230,652,750000
394280,71,35000
394310,478,750000
394360,9413,1500000
394510,1112,750000
394540,264,350000
394690,1326,350000
394760,155,150000
394850,12,10000
394870,261,150000
394970,364,150000
395170,228,3500000
395380,394,75000
395520,3,350000
395620,530,10000
396280,1,75000
396350,278,35000
396360,237,75000
396530,637,75000
396650,1,35000
396750,312,350000
396790,267,150000
396850,262,75000
397060,2201,750000
397100,11,350000
397160,244,35000
397270,215,75000
397310,126,10000
397340,538,750000
397430,344,75000
397460,264,350000
397500,154,350000
397570,162,35000
397580,306,35000
397690,56,75000
397700,308,75000
397720,1,75000
397740,683,35000
397900,584,1500000
397940,253,35000
397950,211,350000
397980,262,350000
398100,429,35000
398150,515,35000
398680,242,150000
398710,245,350000
398810,2583,10000
398830,297,35000
398840,103,150000
398850,324,350000
399000,273,35000
399040,246,10000
399070,123,10000
399090,222,10000
399100,11,35000
399130,964,10000
399230,259,75000
399430,199,350000
399670,334,150000
399790,256,350000
399820,142,75000
399890,224,75000
400020,50,35000
400170,100,350000
400180,281,350000
400240,190,750000
400250,330,750000
400370,192,150000
400380,299,35000
400450,177,35000
400510,292,35000
400630,592,350000
400660,100,35000
400740,264,150000
400790,188,35000
400910,2356,150000
401190,227,150000
401360,21,35000
401690,705,10000
401710,206,75000
401890,68,10000
402170,299,35000
402180,621,350000
402220,453,75000
402310,891,35000
402390,203,750000
402560,96,350000
402570,1240,750000
402620,345,35000
402710,418,350000
402750,115,35000
402840,581,350000
402850,348,35000
402980,340,35000
403120,467,75000
403190,1069,350000
403200,283,10000
403400,2,75000
403430,3,75000
403510,271,75000
403560,236,350000
403570,194,350000
403640,1117,1500000
403700,220,10000
403740,243,150000
403880,126,10000
403900,217,350000
403940,1296,35000
403970,117,150000
404410,33,750000
404480,135,150000
404540,255,350000
404580,8,75000
404590,230,150000
404620,3,75000
404630,309,35000
404640,354,75000
404660,270,35000
404680,1103,150000
404700,317,75000
404770,402,75000
404790,3,350000
404850,249,35000
405290,1365,35000
405310,59,350000
405370,34,35000
405440,319,35000
405500,1,150000
405610,271,150000
405640,224,350000
405650,15,35000
405710,552,75000
405820,2092,75000
405900,672,350000
405950,236,75000
405980,35,150000
406080,477,35000
406090,357,350000
406150,149,350000
406290,765,75000
406730,4275,75000
406850,189,35000
406970,1,75000
407000,243,35000
407120,10,350000
407230,148,350000
407300,179,75000
407310,404,35000
407330,1616,150000
407340,217,10000
407560,386,150000
407620,240,35000
407720,243,35000
407810,132,150000
407840,84,350000
407900,76,150000
407940,158,35000
407980,586,150000
408000,40,10000
408110,238,75000
408520,6,35000
408740,384,35000
409100,326,75000
409160,15907,750000
409320,15,10000
409380,202,75000
409420,374,75000
409440,606,35000
409510,8,350000
409600,284,75000
409670,19,150000
409690,7,150000
409710,247,3500000
409720,166,3500000
409890,527,35000
410110,228,750000
410210,232,350000
410320,915,350000
410380,2180,350000
410570,40,10000
410670,23,75000
410890,390,35000
410900,1661,350000
410970,333,75000
410980,54,75000
411120,297,75000
411300,1932,750000
411480,78,150000
411560,20,150000
411740,373,75000
411760,477,35000
411830,1228,150000
411960,117,75000
412130,206,150000
412140,12,150000
412150,249,75000
412170,253,350000
412210,253,350000
412290,248,150000
412380,383,10000
412400,6,350000
412450,139,35000
412470,76,350000
412600,232,750000
412740,40,150000
412770,59,35000
412830,2628,150000
412880,146,150000
413150,2868,3500000
413410,1636,350000
413420,1909,350000
413870,182,10000
414070,279,350000
414080,338,75000
414120,484,35000
414290,368,750000
414340,455,750000
414530,561,750000
414580,185,350000
414700,277,750000
414720,427,75000
414730,31,150000
414740,279,35000
415030,53,75000
415150,2,35000
415200,4289,350000
415270,82,150000
415300,40,10000
415350,141,75000
415480,255,75000
415590,85,75000
415660,9,350000
415830,337,75000
415840,306,75000
415850,207,10000
415860,39,350000
415880,149,35000
415960,216,350000
416030,112,35000
416040,226,150000
416080,330,150000
416170,121,75000
416200,7,35000
416210,368,75000
416290,277,35000
416310,196,35000
416370,352,35000
416450,346,150000
